id,"name"
1,"Brooke Tessmacher"
2,"Portia Perez"
3,"Chuck Taylor"
4,"Curt Hawkins"
5,"Darren Young"
6,"Jessie Godderz"
7,"Magnus"
8,"Shayne Hawke"
9,"Zack Ryder"
10,"Yujiro Kushida"
11,"Epico"
12,"Último Guerrero"
13,"Gran Guerrero"
14,"Kenny Kaos"
15,"Nick Gage"
16,"Shuhei Taniguchi"
17,"Vito DeNucci"
18,"Daniel Hollie"
19,"Dawn Marie Psaltis"
20,"Eddie Guerrero"
21,"John Layfield"
22,"Torrie Wilson"
23,"Scott Hall"
24,"Curt Hennig"
25,"Nick Dinsmore"
26,"Bobby Eaton"
27,"Jimmy Reiher, Jr."
28,"Joey Mercury"
29,"Masahiro Chono"
30,"Mike Mondo"
31,"Mike Polchlopek"
32,"New Jack"
33,"Primo"
34,"Psicosis"
35,"Teddy Hart"
36,"The Blue Meanie"
37,"Thrasher"
38,"Hernandez"
39,"André the Giant"
40,"Cien Caras, Jr."
41,"Taiy? Kea"
42,"Dynamite Kid"
43,"Rick Rude"
44,"Naruki Doi"
45,"Oficial Spartan"
46,"Rob Terry"
47,"Norvell Austin"
48,"Jim Steele"
49,"Justin Gabriel"
50,"Chris Nelson"
51,"Kazushige Nosawa"
52,"Koji Kanemoto"
53,"Nikolai Volkoff"
54,"Oficial 911"
55,"Art Barr"
56,"Don Kent"
57,"Jeff Hardy"
58,"Ray Gordy"
59,"Argenis"
60,"Psycho Clown"
61,"Road Dogg"
62,"Trauma I"
63,"The Great Khali"
64,"Big Show"
65,"Crazzy Steve"
66,"Eric Young"
67,"Luc Poirier"
68,"Minoru Fujita"
69,"Oficial AK-47"
70,"Tarzan Goto"
71,"2 Cold Scorpio"
72,"Brian Adams"
73,"Great Kabuki"
74,"Hooligan"
75,"John Hill"
76,"Kazuchika Okada"
77,"Masakazu Fukuda"
78,"Mr. Niebla"
79,"Ricky Reyes"
80,"Dean Ambrose"
81,"Jack Swagger"
82,"Jose Estrada, Jr."
83,"Noriyo Tateno"
84,"Mo"
85,"Oficial Factor"
86,"Pentagón Jr."
87,"Roman Reigns"
88,"Terry Gordy"
89,"Travis Tomko"
90,"Dennis Condrey"
91,"Jillian Hall"
92,"Junji Hirata"
93,"Manabu Murakami"
94,"Manabu Nakanishi"
95,"Nick Kiniski"
96,"Philip Lafond"
97,"Rhett Titus"
98,"Tetsuya Naito"
99,"Titus O'Neil"
100,"Toru Yano"
101,"Jim Brunzell"
102,"Dino Bravo"
103,"Bunkhouse Buck"
104,"Genichiro Tenryu"
105,"Sean Royal"
106,"The Patriot"
107,"Dennis Knight"
108,"Joey Abs"
109,"Pete Gas"
110,"Teijo Khan"
111,"The Warlord"
112,"Firebreaker Chip"
113,"Gran Hamada"
114,"J.C. Ice"
115,"Mike Enos"
116,"Mustafa Saed"
117,"Wayne Bloom"
118,"Oficial Rayan"
119,"Swoll"
120,"Monster Clown"
121,"The Commandant"
122,"Togi Makabe"
123,"El Satánico"
124,"Máscara Año 2000"
125,"Bruno Bekkar"
126,"Samoa Joe"
127,"Rocky Romero"
128,"T.J. Perkins"
129,"Bobby Fish"
130,"Lloyd Anoa?i"
131,"Robbie Rage"
132,"Alicia Webb"
133,"Chris Candido"
134,"Lance Hoyt"
135,"Mike Awesome"
136,"Randy Savage"
137,"Sable"
138,"Davey Richards"
139,"Espíritu"
140,"Gamma"
141,"La Mascara"
142,"Wataru Inoue"
143,"Yasushi Kanda"
144,"Akitoshi Saito"
145,"Escoria"
146,"Hiroyoshi Tenzan"
147,"Kazunari Murakami"
148,"Mascarita Dorada"
149,"Mini Abismo Negro"
